lambda,base_score,new_score
0.0,4.5295731353750375,4.412777693805145
0.2,5.018469579126974,5.021701913496749
0.4,5.409217177509736,5.5195711443024855
0.6,5.924234634076624,5.899742866116418
0.8,6.368916272632289,6.390531168859256
1.0,6.896653086215207,7.007287543393935
