lambda,base_score,base_score_actual,new_score
0.0,5.514430779844053,4.461898611559573,4.471311803259258
0.2,5.731745503463648,4.9387471746851785,5.005195466624542
0.4,6.157585270356532,5.415595737810784,5.7055600565663775
0.6,6.653601160412649,5.892444300936391,6.1963855943069674
0.8,7.2163261108332675,6.369292864061996,6.581525513503191
1.0,7.717743176897147,6.846141427187601,7.14760469298009
